N,n_flares,flare_pct,F1,AUC_PR,AUC_ROC,TSS,HSS,Sensitivity,Specificity,TP,FP,TN,FN,miss_rate,fa_rate,year
8784,6122,69.7,0.9908,0.9991,0.9979,0.9658,0.9694,0.9936,0.9722,6083,74,2588,39,0.6,2.8,2024
8760,433,4.9,0.0,0.166,0.6029,0.0,0.0,0.0,1.0,0,0,8327,433,100.0,0.0,2025
1920,111,5.8,0.0,0.5238,0.8186,0.0,0.0,0.0,1.0,0,0,1809,111,100.0,0.0,2026
